date,timestamp,price,market_caps,total_volumes
2025-02-15,1739577600000,97488.48148536457,1931656846871.4856,32289906944.92862
2025-02-16,1739664000000,97569.95169430463,1934308378710.286,14215311318.346336
2025-02-17,1739750400000,96149.3484548204,1905012222220.369,13634794998.739267
2025-02-18,1739836800000,95776.15723852724,1898997753781.9536,25324374113.08163
2025-02-19,1739923200000,95495.89153299289,1892702154844.508,38311133144.72936
2025-02-20,1740009600000,96554.87156259285,1914337919659.5537,27703222487.38957
2025-02-21,1740096000000,98384.31738240314,1950376106325.3228,24175261969.81266
2025-02-22,1740182400000,96135.15541305284,1906058197506.3809,42477472950.92155
2025-02-23,1740268800000,96564.15414290236,1915260330870.798,18464415570.762142
2025-02-24,1740355200000,96327.46309127836,1909625674815.4763,16643044374.983364
2025-02-25,1740441600000,91396.76686930266,1814176779160.4363,45539703844.38777
2025-02-26,1740528000000,88755.7693356979,1759750360550.3335,96742453402.56294
2025-02-27,1740614400000,83900.11496524839,1664314955447.7466,69277430795.68657
2025-02-28,1740700800000,84709.14477847965,1679555320077.2097,81960688217.70384
2025-03-01,1740787200000,84441.9012237131,1674754437110.342,80695237175.07367
2025-03-02,1740873600000,86005.25629681018,1705564098300.8235,30634474722.6359
2025-03-03,1740960000000,94261.5328653844,1868321705444.488,61859112550.80991
2025-03-04,1741046400000,86124.71418722175,1708198960874.3418,68715362745.4567
2025-03-05,1741132800000,87310.80531078295,1731441668069.6523,65863356680.42408
2025-03-06,1741219200000,90604.08098523636,1797706868227.531,51606642859.81411
2025-03-07,1741305600000,90001.40087607042,1782785866811.654,47555759124.64708
2025-03-08,1741392000000,86773.33597555371,1720436931689.2776,63216440874.73251
2025-03-09,1741478400000,86142.9833586432,1708605516770.228,18809360803.37126
2025-03-10,1741564800000,80751.13893300897,1602073794580.0344,32013406240.51754
2025-03-11,1741651200000,78783.94057934263,1563547150147.7332,49983692766.22745
2025-03-12,1741737600000,82799.1080292053,1642997419531.6057,56404462275.083046
2025-03-13,1741824000000,83884.24578828987,1662502658717.542,41782186208.59073
2025-03-14,1741910400000,81098.90052436228,1608477373718.186,32583592654.882656
2025-03-15,1741996800000,83971.70916064628,1665725559905.8198,28571483950.07465
2025-03-16,1742083200000,84391.69087647168,1674173293916.4658,10761796127.312485
2025-03-17,1742169600000,82610.61750343916,1638672153483.722,21638031633.118767
2025-03-18,1742256000000,84075.36559694471,1667799227887.438,19659366246.596867
2025-03-19,1742342400000,82780.03048688271,1642578274105.806,24557570268.85276
2025-03-20,1742428800000,86815.44109470697,1721565138141.278,33871216993.304657
2025-03-21,1742515200000,84270.84358966233,1672550706502.8184,27579127651.06656
2025-03-22,1742601600000,84009.532917822,1666749159154.2927,18091004975.919056
2025-03-23,1742688000000,83793.30854192551,1662574363663.653,7771134681.982918
2025-03-24,1742774400000,85787.70914901773,1702009594329.4497,12617587530.619724
2025-03-25,1742860800000,87327.72969669085,1732715331970.134,27270889835.1835
2025-03-26,1742947200000,87520.58391530563,1735368473904.4883,30351832942.705597
2025-03-27,1743033600000,86960.8555491039,1724854479045.6724,25522877558.70056
2025-03-28,1743120000000,87227.27158032371,1729729987159.4822,24620445368.489468
2025-03-29,1743206400000,84359.46915506005,1673182800974.1038,31674486232.097317
2025-03-30,1743292800000,82679.17255385047,1640665503855.1438,16837439419.924389
2025-03-31,1743379200000,82356.38111183756,1633996304187.2593,13428975108.070734
2025-04-01,1743465600000,82514.09365397849,1635076581047.3545,30326148749.91535
2025-04-02,1743552000000,85237.5876052852,1690602036035.04,29172899851.734768
2025-04-03,1743638400000,82526.4221526433,1637358764747.381,46332905657.77597
2025-04-04,1743724800000,83163.98757387721,1652537223074.958,36594464539.14662
2025-04-05,1743811200000,83852.00765399594,1664234880198.049,35647289400.47406
2025-04-06,1743897600000,83595.88550177493,1656020067997.187,14910400035.531416
2025-04-07,1743984000000,78211.48358199988,1555325260787.2627,36140377231.68329
2025-04-08,1744070400000,79179.29226757778,1581407565278.352,82909748172.59216
2025-04-09,1744156800000,76329.090356324,1515042499757.3254,47812787635.22632
2025-04-10,1744243200000,82622.17029546302,1640567909122.172,87408220482.11568
2025-04-11,1744329600000,79596.35732250768,1580023209138.0547,41213520154.25157
2025-04-12,1744416000000,83439.28818043756,1655868880454.1702,39813566443.76779
2025-04-13,1744502400000,85305.09728392666,1693600655371.0874,22428929482.06912
2025-04-14,1744588800000,83600.82010054543,1658923208081.8682,28731125717.93436
2025-04-15,1744675200000,84523.4524914945,1677843510120.269,33155578229.343517
2025-04-16,1744761600000,83656.49248858042,1660749023283.0562,25084671427.622566
2025-04-17,1744848000000,84105.77942167096,1670497569762.047,26948109141.803364
2025-04-18,1744934400000,84930.90857600998,1686226810049.1836,19323821375.14309
2025-04-19,1745020800000,84433.75017215389,1676373197914.5117,9550691272.782003
2025-04-20,1745107200000,85126.66244301842,1690090596771.3958,12635983530.804457
2025-04-21,1745193600000,85073.16544858096,1689008667806.3804,12625843856.313684
2025-04-22,1745280000000,87452.04699068287,1735703747771.06,40070025414.28289
2025-04-23,1745366400000,93576.1658857398,1858587811717.8289,53841992235.36636
2025-04-24,1745452800000,93605.45230873208,1858660302322.256,39901515879.65954
2025-04-25,1745539200000,93872.81422867288,1864298110563.3408,30031246761.09345
2025-04-26,1745625600000,94773.11200643536,1882121595175.8464,39336184715.04292
2025-04-27,1745712000000,94644.06637120109,1879131951239.1848,15445392739.787264
2025-04-28,1745798400000,93809.33781968225,1862772247122.064,15926259371.05796
2025-04-29,1745884800000,95030.60645474444,1887067388174.348,31913814736.53902
2025-04-30,1745971200000,94256.35946318062,1870818389258.404,25882629766.278942
2025-05-01,1746057600000,94235.75331048168,1871350362569.0933,26541700309.366142
2025-05-02,1746144000000,96426.94522273028,1914884389769.3943,30207566405.468838
2025-05-03,1746230400000,96855.5681343944,1923251765866.1472,23276376191.483967
2025-05-04,1746316800000,95922.86842404422,1904894886394.57,13797554863.642817
2025-05-05,1746403200000,94326.62048529249,1872812442453.032,14903122945.616686
2025-05-06,1746489600000,94758.8237105546,1882511286487.958,24086456278.20385
2025-05-07,1746576000000,96854.53198815876,1923643840814.599,23348052607.071877
2025-05-08,1746662400000,97026.493769668,1927134557858.269,64376174032.08048
2025-05-09,1746748800000,103076.27555512934,2047883753852.6929,50020047720.65604
2025-05-10,1746835200000,102962.540456923,2045046445523.524,40800894903.23446
2025-05-11,1746921600000,104630.8792994166,2077132539531.3464,21558992540.04244
2025-05-12,1747008000000,103994.061616746,2065659960471.3652,27389436049.454792
2025-05-13,1747094400000,102876.8304286011,2044347271866.171,43090605819.36596
2025-05-14,1747180800000,104184.49039270742,2069356072124.024,33861432519.50822
2025-05-15,1747267200000,103594.42575090707,2057798367292.564,28398245846.798244
2025-05-16,1747353600000,103708.8513642364,2060142559914.034,31823340473.339912
2025-05-17,1747440000000,103556.03493982446,2057725640290.077,25887953182.14765
2025-05-18,1747526400000,103212.36483885496,2050318521477.805,18950056010.479057
2025-05-19,1747612800000,106030.6376831359,2104889720872.8303,30744060179.802963
2025-05-20,1747699200000,105629.41580436694,2098485415895.0496,43339734153.75087
2025-05-21,1747785600000,106786.71995834044,2121778617273.821,36393687094.25122
2025-05-22,1747872000000,109665.86371625264,2178838967665.505,60722883113.84
2025-05-23,1747958400000,111560.356938144,2214712145787.249,52218408239.45193
2025-05-24,1748044800000,107216.66856870624,2131595896624.441,49251745837.96465
2025-05-25,1748131200000,107831.36374380375,2142540077685.22,27128230116.51716
2025-05-26,1748217600000,108861.81037744328,2163072841533.6133,29652659665.048733
2025-05-27,1748304000000,109377.71513263127,2173059855839.4187,27950577137.918888
2025-05-28,1748390400000,109068.45694901443,2167551887130.0076,38978783508.88622
2025-05-29,1748476800000,107838.18431100152,2143342706888.307,29794278037.284943
